Name,Number in Deck,Play,Play 2,Effect,Flavor Text,Type,Expansion,Faction,Promissory Note Owner
Duha Menaimon,1,After you activate this system,,"Cost=8 | Combat=7(x2) | Move=1 | Capacity=5
After you activate this system, you may produce up to 5 units in this system.
SUSTAIN DAMAGE",,Unit,Base,Arborec,
Quetzecoatl,1,,,"Cost=8 | Combat=7(x2) | Move=1 | Capacity=3
Other players cannot use SPACE CANNON against your ships in this system
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Argent Flight,
Arc Secundus,1,At the start of each combat round,,"Cost=8 | Combat=5(x2) | Move=1 | Capacity=3
Other players' units in this system lose PLANETARY SHIELD
At the start of each space combat round, repair this ship
SUSTAIN DAMAGE",,Unit,Base,Barony of Letnev,
Son of Ragh,1,,,"Cost=8 | Combat=5(x2) | Move=1 | Capacity=3
ANTI-FIGHTER BARRAGE 6(x4)
SUSTAIN DAMAGE",,Unit,Base,Clan of Saar,
Artemiris,1,,,"Cost=8 | Combat=7(x2) | Move=1 | Capacity=3
Other players must spend 2 influence to activate the system that contains this ship.
SUSTAIN DAMAGE",,Unit,Codex III,Council Keleres,
The Inferno,1,ACTION,,"Cost=8 | Combat=5(x2) | Move=1 | Capacity=3
ACTION: Spend 1 token from your strategy pool to place 1 cruiser in this unit's system.
SUSTAIN DAMAGE",,Unit,Base,Embers of Muaat,
Wrath of Kenara,1,After you roll a die during space combat in this system,,"Cost=8 | Combat=7(x2) | Move=1 | Capacity=3
After you roll a die during space combat in this system, you may spend 1 trade good to apply +1 to the result.
SUSTAIN DAMAGE",,Unit,Base,Emirates of Hacan,
Dynamo,1,After any player's unit in this system or an adjacent system uses SUSTAIN DAMAGE,,"Cost=8 | Combat=5(x2) | Move=1 | Capacity=3
After any player's unit in this system or an adjacent system uses SUSTAIN DAMAGE, you may spend 2 influence to repair that unit.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Empyrean,
Genesis,1,At the end of the status phase,,"Cost=8 | Combat=5(x2) | Move=1 | Capacity=12
At the end of the status phase, place 1 infantry from your reinforcements in this system's space area.
SUSTAIN DAMAGE",,Unit,Base,Federation of Sol,
Hil Colish,1,During movement,,"Cost=8 | Combat=5 | Move=1 | Capacity=3
This ship's system contains a delta wormhole
During movement, this ship may move before or after your other ships
SUSTAIN DAMAGE",,Unit,Base,Ghosts of Creuss,
[0.0.1],1,During a space combat,,"Cost=8 | Combat=5(x2) | Move=1 | Capacity=5
During a space combat, hits produced by this ship and by your dreadnoughts in this system must be assigned to non-fighter ships if able.
SUSTAIN DAMAGE",,Unit,Base,L1Z1X mindnet,
Arvicon Rex,1,During combat against an opponent whose command token is not in your fleet pool,,"Cost=8 | Combat=5(x2) | Move=1 | Capacity=3
During combat against an opponent whose command token is not in your fleet pool, apply +2 to the results of this unit's combat rolls
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Mahact Gene-Sorcerers,
Fourth Moon,1,,,"Cost=8 | Combat=7(x2) | Move=1 | Capacity=3
Other players' ships in this system cannot use SUSTAIN DAMAGE
SUSTAIN DAMAGE",,Unit,Base,Mentak Coalition,
Matriarch,1,During an invasion in this system,When combat ends,"Cost=8 | Combat=9(x2) | Move=1 | Capacity=6
During an invasion in this system, you may commit fighters to planets as if they were ground forces. When combat ends, return those units to the space area.
SUSTAIN DAMAGE",,Unit,Base,Naalu Collective,
Visz el Vir,1,,,"Cost=8 | Combat=9(x2) | Move=1 | Capacity=4
Your mechs in this system roll 1 additional die during combat
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Naaz-Rokha Alliance,
The Alastor,1,At the start of a space combat,,"Cost=8 | Combat=9(x2) | Move=1 | Capacity=3
At the start of a space combat, choose any number of your ground forces in this system to participate in that combat as if they were ships.
SUSTAIN DAMAGE",,Unit,Base,Nekro Virus,
Memoria,1,,,"Cost=8 | Combat=7(x2) | Move=1 | Capacity=3
You may treat this unit as if it were adjacent to systems that contain one or more of your mechs
ANTI-FIGHTER BARRAGE 8(x3)
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Nomad,
C'Morran N'orr,1,,,"Cost=8 | Combat=6(x2) | Move=1 | Capacity=3
Apply +1 to the result of each of your other ship's combat rolls in this system.
SUSTAIN DAMAGE",,Unit,Base,Sardakk N’orr,
Ouranos,1,After you active a system that contains 1 or more of your PDS,,"Cost=8 | Combat=7(x2) | Move=1 | Capacity=3
DEPLOY: After you activate a system that contains 1 or more of your PDS, you may replace 1 of those PDS with this unit
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Titans of Ul,
J.N.S. Hylarim,1,When making a combat roll for this ship,,"Cost=8 | Combat=6(x2) | Move=1 | Capacity=3
When making a combat roll for this ship, each result of a 9 or 10, before applying modifiers, produces 2 additional hits.
SUSTAIN DAMAGE",,Unit,Base,Universities of Jol-Nar,
The Terror Between,1,,,"Cost=8 | Combat=5(x2) | Move=1 | Capacity=3
Capture all other non-structure units that are destroyed in this unit's system, including your own
BOMBARDMENT 5
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Vuil’Raith Cabal,
Salai Sai Corian,1,When this unit makes a combat roll,,"Cost=8 | Combat=7 | Move=1 | Capacity=3
When this unit makes a combat roll, it rolls a number of dice equal to the number of your opponent's non-fighter ships in this system.
SUSTAIN DAMAGE",,Unit,Base,Winnu,
Loncarra Ssodu,1,,,"Cost=8 | Combat=7(x2) | Move=1 | Capacity=3
You may use this unit's SPACE CANNON against ships that are in adjacent systems.
SPACE CANNON 5(x3)
SUSTAIN DAMAGE",,Unit,Base,Xxcha Kingdom,
Van Hauge,1,When this ship is destroyed,,"Cost=8 | Combat=9(x2) | Move=1 | Capacity=3
When this ship is destroyed, destroy all ships in this system.
SUSTAIN DAMAGE",,Unit,Base,Yin Brotherhood,
Y'sia Y'ssrila,1,,,"Cost=8 | Combat=5(x2) | Move=2 | Capacity=3
This ship can move through systems that contain other player's ships.
SUSTAIN DAMAGE",,Unit,Base,Yssaril Tribes,
Valefar Assimilator X,,When you would gain another player’s technology using 1 of your faction abilities,,"When you would gain another player's technology using 1 of your faction abilities, you may place the ""X"" assimilator token on a faction technology owned by that player instead.  While that token is on a technology, this card gains that technology's text.  You cannot place an assimilator token on technology that already has an assimilator token.",,Technology,Base,Nekro Virus,
Valefar Assimilator Y,,When you would gain another player’s technology using 1 of your faction abilities,,"When you would gain another player's technology using 1 of your faction abilities, you may place the “Y"" assimilator token on a faction technology owned by that player instead.  While that token is on a technology, this card gains that technology's text.  You cannot place an assimilator token on technology that already has an assimilator token.",,Technology,Base,Nekro Virus,
Infantry,12,,,Cost=1(x2) | Combat=8,,Unit,Base,Any,
Spec Ops,12,,,Cost=1(x2) | Combat=7,,Unit,Base,Federation of Sol,
Letani Warrior,12,,,"Cost=1(x2) | Combat=8
PRODUCTION 1",,Unit,Base,Arborec,
Crimson Legionnaire,12,After this unit is destroyed,,"Cost=1(x2) | Combat=8
After this unit is destroyed, gain 1 commodity or convert 1 of your commodities to a trade good.",,Unit,Prophecy of Kings,Mahact Gene-Sorcerers,
Letani Behemoth,4,When you use MITOSIS faction ability,,"Cost=2 | Combat=6
DEPLOY: When you use MITOSIS faction ability you may replace 1 of your infantry with 1 mech from your reinforcements instead
SUSTAIN DAMAGE
PRODUCTION 2
PLANETARY SHIELD",,Unit,Prophecy of Kings,Arborec,
Aerie Sentinel,4,,,"Cost=2 | Combat=6
This unit does not count against capacity if it is being transported or if it is in a space area with 1 or more of your ships that has capacity values.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Argent Flight,
Dunlain Reaper,4,At the start of a round of ground combat,,"Cost=2 | Combat=6
DEPLOY: At the start of a round of ground combat, you may spend 2 resources to replace 1 of your infantry in that combat with 1 mech.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Barony of Letnev,
Scavenger Zeta,4,After you gain control of a planet,,"Cost=2 | Combat=6
DEPLOY: After you gain control of a planet, you may spend 1 trade good to place 1 mech on that planet.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Clan of Saar,
Omniopiares,4,,,"Cost=2 | Combat=6
Other players must spend 1 influence to commit ground forces to the planet that contains this unit.
SUSTAIN DAMAGE",,Unit,Codex III,Council Keleres,
Ember Colossus,4,When you use your STAR FORGE faction ability in this system or an adjacent system,,"Cost=2 | Combat=6
When you use your STAR FORGE faction ability in this system or an adjacent system, you may place 1 infantry from your reinforcements with this unit.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Embers of Muaat,
Pride of Kenara,4,,,"Cost=2 | Combat=6
This planet's card may be traded as part of a transaction; if you do, move all of your units from this planet to another planet you control.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Emirates of Hacan,
Watcher,4,,,"Cost=2 | Combat=6
You may remove this unit from a system that contains or is adjacent to another player's units to cancel an action card played by that player.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Empyrean,
ZS Thunderbolt M2,4,After you use your ORBITAL DROP faction ability,,"Cost=2 | Combat=6
DEPLOY: After you use your ORBITAL DROP faction ability you may spend 3 resources to place 1 mech on that planet.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Federation of Sol,
Icarus Drive,4,After any player activates a system,,"Cost=2 | Combat=6
After any player activates a system, you may remove this unit from the game board to place or move a Creuss wormhole token into this system.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Ghosts of Creuss,
Annihilator,4,,,"Cost=2 | Combat=6
While not participating in ground combat, this unit can use its BOMBARDMENT ability on planets in its system as if it were a ship.
SUSTAIN DAMAGE
BOMBARDMENT 8",,Unit,Prophecy of Kings,L1Z1X mindnet,
Starlancer,4,After a player whose command token is in your fleet pool activates this system,,"Cost=2 | Combat=6
After a player whose command token is in your fleet pool activates this system, you may spend their token from your fleet pool to end their turn; they gain that token.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Mahact Gene-Sorcerers,
Moll Terminus,4,,,"Cost=2 | Combat=6
Other players' ground forces on this planet cannot use SUSTAIN DAMAGE.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Mentak Coalition,
Iconoclast Ω,4,,,"Cost=2 | Combat=6
Other players cannot use ANTI-FIGHTER BARRAGE against your units in this system.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Naalu Collective,
Eidolon,4,At the start of a space combat in this unit’s system,,"Cost=2 | Combat=6(x2)
If this unit is in the space area of the active system at the start of a space combat, flip this card (to Z-Grav Eidolon).
SUSTAIN DAMAGE
(This card begins the game with this side face up)",,Unit,Prophecy of Kings,Naaz-Rokha Alliance,
Z-Grav Eidolon,4,At the end of a space combat in the active system,,"Cost=2 | Combat=8(x2)
If this unit is in the space area of the active system, it is also a ship. At the end of a space battle in the active system, flip this card (to Eidolon).
(This card begins the game with this side face down)
",,Unit,Prophecy of Kings,Naaz-Rokha Alliance,
Mordred,4,,,"Cost=2 | Combat=6
During combat against an opponent who has an ""X"" or ""Y"" token on 1 or more of their technologies, apply +2 to the result of each of this unit's combat rolls.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Nekro Virus,
Quantum Manipulator,4,,,"Cost=2 | Combat=6
While this unit is in a space area during combat, you may use its SUSTAIN DAMAGE ability to cancel a hit that is produced against your ships in this system.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Nomad,
Valkyrie Exoskeleton,4,After this unit uses its SUSTAIN DAMAGE ability during Ground Combat,,"Cost=2 | Combat=6
After this unit uses its SUSTAIN DAMAGE ability during Ground Combat, it produces 1 hit against your opponent's ground forces on this planet.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Sardakk N’orr,
Hecatoncheires,4,When you would place a PDS on a planet,,"Cost=2 | Combat=6
DEPLOY: When you would place a PDS on a planet, you may place 1 mech and 1 infantry on that planet instead.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Titans of Ul,
Shield Paling,4,,,"Cost=2 | Combat=6
Your infantry on this planet are not affected by your FRAGILE faction ability.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Universities of Jol-Nar,
Reanimator,4,When your infantry on this planet are destroyed,,"Cost=2 | Combat=6
When your infantry on this planet are destroyed, place them on your faction sheet; those units are captured.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Vuil’Raith Cabal,
Reclaimer,4,After you resolve a tactical action where you gained control of this planet,,"Cost=2 | Combat=6
After you resolve a tactical action where you gained control of this planet, you may place 1 PDS or 1 Space Dock from your reinforcements on this planet.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Winnu,
Indomitus,4,,,"Cost=2 | Combat=6
You may use this unit's SPACE CANNON against ships that are in adjacent systems.
SUSTAIN DAMAGE
SPACE CANNON 8",,Unit,Prophecy of Kings,Xxcha Kingdom,
Moyin's ashes,4,When you use your INDOCTRINATION faction ability,,"Cost=2 | Combat=6
DEPLOY: When you use your INDOCTRINATION faction ability, you may spend 1 additional influence to replace your opponent's unit with 1 mech instead of 1 infantry.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Yin Brotherhood,
Blackshade Infiltrator,4,After you use your STALL TACTICS faction ability,,"Cost=2 | Combat=6
DEPLOY: After you use your STALL TACTICS faction ability, you may place 1 mech on a planet you control.
SUSTAIN DAMAGE",,Unit,Prophecy of Kings,Yssaril Tribes,
Space Dock,3,,,"This unit's PRODUCTION value is equal to 2 more than the resource value of this planet.
Up to 3 fighters in this system do not count towards your ships' capacity.
PRODUCTION X",,Unit,Base,Any,
Floating Factory,3,,,"This unit is placed in the space area instead of on a planet.
This unit can move and retreat as if it were a ship.
If this unit is blockaded, it is destroyed.
PRODUCTION 5",,Unit,Base,Clan of Saar,
Dimensional Tear,3,,,"This system is a gravity rift; your ships do not roll for this gravity rift.
Place a dimensional tear token beneath this unit as a reminder.
Up to 6 fighters in this system do not count against your ships' capacity.
PRODUCTION 5",,Unit,Prophecy of Kings,Vuil’Raith Cabal,
PDS,6,,,"PLANETARY SHIELD
SPACE CANNON 6",,Unit,Base,Any,
Hel-Titan,6,,,"Combat=7
This unit is treated as both a structure and a ground force. It cannot be transported.
PLANETARY SHIELD
SPACE CANNON 6
SUSTAIN DAMAGE
PRODUCTION 1",,Unit,Prophecy of Kings,Titans of Ul,
